x	y
-14.0	13.9
-13.5	10.9
-13.0	5.5
-12.5	-0.8
-12.0	-6.4
-11.5	-10.1
-11.0	-11.0
-10.5	-9.2
-10.0	-5.4
-9.5	-0.7
-9.0	3.7
-8.5	6.8
-8.0	7.9
-7.5	7.0
-7.0	4.6
-6.5	1.4
-6.0	-1.7
-5.5	-3.9
-5.0	-4.8
-4.5	-4.4
-4.0	-3.0
-3.5	-1.2
-3.0	0.4
-2.5	1.5
-2.0	1.8
-1.5	1.5
-1.0	0.8
-0.5	0.2
0.0	0.0
0.5	0.2
1.0	0.8
1.5	1.5
2.0	1.8
2.5	1.5
3.0	0.4
3.5	-1.2
4.0	-3.0
4.5	-4.4
5.0	-4.8
5.5	-3.9
6.0	-1.7
6.5	1.4
7.0	4.6
7.5	7.0
8.0	7.9
8.5	6.8
9.0	3.7
9.5	-0.7
10.0	-5.4
10.5	-9.2
11.0	-11.0
11.5	-10.1
12.0	-6.4
12.5	-0.8
13.0	5.5
13.5	10.9
14.0	13.9
14.5	13.6
15.0	9.8
15.5	3.2
16.0	-4.6
16.5	-11.7
17.0	-16.3
17.5	-17.1
18.0	-13.5
18.5	-6.3
19.0	2.8
19.5	11.8
20.0	18.3
20.5	20.4
21.0	17.6
21.5	10.1
22.0	-0.2
22.5	-11.0
23.0	-19.5
23.5	-23.5
24.0	-21.7
24.5	-14.5
25.0	-3.3
25.5	9.2
26.0	19.8
26.5	26.0
27.0	25.8
27.5	19.2
28.0	7.6
28.5	-6.4
29.0	-19.2
29.5	-27.8
30.0	-29.6
30.5	-24.2
31.0	-12.5
31.5	2.6
32.0	17.6
32.5	28.7
33.0	33.0
33.5	29.2
34.0	18.0
34.5	2.0
35.0	-15.0
35.5	-28.7
